folder,epoch,improved_folds,avg_auc_with,avg_auc_without,avg_auc_delta,is_best_epoch
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,0,8,0.8283699788575232,0.8187802497800201,0.009589729077503195,True
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,1,6,0.8233990376490092,0.8187802497800201,0.004618787868989183,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,2,6,0.8236647539857179,0.8187802497800201,0.004884504205697859,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,3,6,0.8209847049020922,0.8187802497800201,0.0022044551220721242,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,4,5,0.8161485042948733,0.8187802497800201,-0.002631745485146808,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,5,2,0.810901331942244,0.8187802497800201,-0.007878917837776079,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,6,3,0.8092130252229873,0.8187802497800201,-0.009567224557032739,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,7,2,0.8053183960008589,0.8187802497800201,-0.013461853779161214,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,8,2,0.7961092185000098,0.8187802497800201,-0.02267103128001018,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,9,1,0.7865175510202094,0.8187802497800201,-0.03226269875981065,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,10,0,0.7739731270842235,0.8187802497800201,-0.04480712269579658,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,11,0,0.7605704672182633,0.8187802497800201,-0.05820978256175681,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,12,0,0.7426739190860048,0.8187802497800201,-0.0761063306940153,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,13,0,0.7292810890633878,0.8187802497800201,-0.08949916071663207,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,14,0,0.7144954431795016,0.8187802497800201,-0.10428480660051824,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,15,0,0.7026216206715803,0.8187802497800201,-0.11615862910843977,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,16,0,0.6881218336868751,0.8187802497800201,-0.13065841609314505,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,17,0,0.6806203438302995,0.8187802497800201,-0.13815990594972055,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,18,0,0.6715760026968827,0.8187802497800201,-0.1472042470831373,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,19,0,0.6619711492256386,0.8187802497800201,-0.1568091005543814,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,20,0,0.6526721771059749,0.8187802497800201,-0.16610807267404504,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,21,0,0.6437065779015578,0.8187802497800201,-0.1750736718784623,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,22,0,0.6384652515296804,0.8187802497800201,-0.1803149982503396,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,23,0,0.6340708926221271,0.8187802497800201,-0.1847093571578928,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,24,0,0.626293856923653,0.8187802497800201,-0.19248639285636704,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,25,0,0.6182327579558639,0.8187802497800201,-0.20054749182415624,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,26,0,0.6164981672071981,0.8187802497800201,-0.2022820825728219,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,27,0,0.6129049312598667,0.8187802497800201,-0.20587531852015334,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,28,0,0.6076881811327679,0.8187802497800201,-0.2110920686472521,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,29,0,0.6051889935510004,0.8187802497800201,-0.2135912562290196,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,30,0,0.6056535694668337,0.8187802497800201,-0.21312668031318646,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,31,0,0.6032003505435505,0.8187802497800201,-0.21557989923646956,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,32,0,0.6014834523669228,0.8187802497800201,-0.21729679741309726,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,33,0,0.5980890274686292,0.8187802497800201,-0.22069122231139068,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,34,0,0.6000232045588342,0.8187802497800201,-0.21875704522118591,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,35,0,0.6000973801505068,0.8187802497800201,-0.2186828696295131,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,36,0,0.5962827149501077,0.8187802497800201,-0.22249753482991244,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,37,0,0.5967760360340115,0.8187802497800201,-0.2220042137460084,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,38,0,0.5939612255335449,0.8187802497800201,-0.22481902424647515,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_32.0,39,0,0.5906212662740178,0.8187802497800201,-0.22815898350600214,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_64.0,0,7,0.8241570373988765,0.8187802497800201,0.005376787618856338,True
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_64.0,1,4,0.8211077929014943,0.8187802497800201,0.0023275431214742404,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_64.0,2,5,0.815960123735955,0.8187802497800201,-0.00282012604406503,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_64.0,3,5,0.817754265772218,0.8187802497800201,-0.0010259840078020832,False
run_epochs_40.0_lr_0.001_din_64.0_dout_64.0_bs_64.0,4,4,0.8140785648189865,0.8187802497800201,-0.004701684961033547,False
